System name,Node name
BLRDME-MCM-O-I614-01,DME
BLRVNG-MCN-O-I614-01,VNG
BLRJYN-MCM-O-I614-01,JYN
BLRBID-MCN-O-I614-01,BID
BLRHLY-MCM-O-I614-01,HLY
BLRAID-MCD-O-I614-01,AID
DELGRI-MCD-O-I614-01,GRI
DELOKH-MCN-O-I614-01,OKH
DELYPN-MCD-O-I614-01,YPN
NDATAS-MCD-O-I614-01,TAS
NDANNM-MCD-O-I614-01,NMM
NDANDO-MCN-O-I614-01,NDO
UPNDA-MCM-O-I657-01,GGN
MAATDL-MCN-O-I614-01,TDL
MAAVEL-MCN-O-I614-01,VEL
MAANMG-MCD-O-I614-01,NMG
MAATMC-MCD-O-I614-01,TMC
MAASSF-MCL-O-I614-01,SSF
MAAFPS-MCL-O-I614-01,FPS
MAATFR-MCM-O-I614-01,TFR
